Subscription ID,Account name,Plan,Billing frequency,Quantity,Price per unit,Contract start,Renewal due,Billing contact email
LM-0227,Glenmore Nursery Co,Lite,Annual,17,5.6,2026-04-26,2027-04-26,billing@glenmorenurseryc.example
LM-0228,Harkness Tutors LLP,Core,Monthly,69,35.59,2025-03-16,2026-09-16,billing@harknesstutorsll.example
LM-0229,Inglewood Removals Ltd,Core,Monthly,17,30.55,2024-10-15,2026-09-15,billing@inglewoodremoval.example
LM-0230,Kettleby Clinic Group,Lite,Monthly,65,6.39,2026-03-17,2026-09-17,billing@kettlebyclinicgr.example
LM-0231,Longmere Garage Co,Core,Monthly,9,46.48,2024-01-23,2026-09-23,billing@longmeregarageco.example
LM-0232,Marchford Joinery LLP,Lite,Monthly,79,81.74,2026-02-16,2026-09-16,billing@marchfordjoinery.example
LM-0233,Netherfold Veterinary Ltd,Lite,Annual,101,69.26,2024-08-19,2027-08-19,billing@netherfoldveteri.example
LM-0234,Oakhanger Plumbing Group,Agency,Monthly,120,58.03,2025-08-28,2026-09-28,billing@oakhangerplumbin.example
LM-0235,Pentridge Fitness Co,Core,Quarterly,108,10.34,2025-09-21,2026-09-21,billing@pentridgefitness.example
LM-0236,Quarrendon Salon LLP,Lite,Annual,109,62.89,2025-10-19,2026-10-19,billing@quarrendonsalonl.example
LM-0237,Rowanhead Print Ltd,Agency,Quarterly,105,14.6,2024-04-16,2026-10-16,billing@rowanheadprintlt.example
LM-0238,Southwick Florists Group,Lite,Monthly,55,54.1,2025-06-17,2026-09-17,billing@southwickflorist.example
LM-0239,Thurloxton Studio Co,Core,Monthly,73,68.22,2025-01-25,2026-09-25,billing@thurloxtonstudio.example
LM-0240,Wilbraham Bakery LLP,Core,Quarterly,57,9.8,2025-09-21,2026-09-21,billing@wilbrahambakeryl.example
