Vendor code,Vendor name,Spend category,Incoterm,Lead time (days),Approved on,Status,Buyer contact,E-mail
HW-0196,Newsholme Haulage BV,Logistics,DAP,26,2024-03-31,Approved,Jolanta Barrowclough,jolanta.barrowclough@newsholmehaula.example
HW-0197,Oswaldkirk Pigments Group,Raw materials,FOB,54,2025-12-27,Approved,Merrick Marchbank,merrick.marchbank@oswaldkirkpigm.example
HW-0198,Penrhos Lubricants PLC,Maintenance,DAP,13,2025-12-14,Pending,Petra Halliwell,petra.halliwell@penrhoslubrica.example
HW-0199,Quorndon Freight Ltd,Logistics,DAP,43,2025-10-01,Approved,Caius Chevington,caius.chevington@quorndonfreigh.example
HW-0200,Redmarley Timber Oy,Raw materials,DDP,4,2024-10-23,Suspended,Ffion Nettleford,ffion.nettleford@redmarleytimbe.example
HW-0201,Sedgeberrow Cartons SRL,Packaging,DDP,39,2025-08-29,Approved,Idris Inkpen,idris.inkpen@sedgeberrowcar.example
HW-0202,Tavistoke Couriers BV,Logistics,DAP,56,2025-08-21,Approved,Linnet Dunwoody,linnet.dunwoody@tavistokecouri.example
HW-0203,Ulverston Glassworks Group,Raw materials,DAP,51,2024-10-02,Pending,Osric Oldbury,osric.oldbury@ulverstonglass.example
HW-0204,Vaynor Crates PLC,Packaging,FOB,24,2024-12-12,Approved,Brioney Jelbart,brioney.jelbart@vaynorcratespl.example
HW-0205,Whitbourne Warehousing Ltd,Logistics,DAP,45,2026-05-29,Approved,Eamon Elverton,eamon.elverton@whitbourneware.example
HW-0206,Yatesbury Cleaning Oy,Maintenance,FOB,9,2025-11-19,Pending,Hesper Prescott,hesper.prescott@yatesburyclean.example
HW-0207,Alnmouth Films SRL,Packaging,EXW,36,2025-04-20,Suspended,Kester Kinnaird,kester.kinnaird@alnmouthfilmss.example
HW-0208,Bexwell Polymers BV,Raw materials,DAP,48,2024-01-08,Approved,Nessa Fanshawe,nessa.fanshawe@bexwellpolymer.example
HW-0209,Ambleforth Calibration Group,Maintenance,FOB,21,2024-10-25,Approved,Anselm Ambleside,anselm.ambleside@ambleforthcali.example
HW-0210,Barrowden Labels PLC,Packaging,EXW,46,2025-07-25,Pending,Deryn Lockhart,deryn.lockhart@barrowdenlabel.example
HW-0211,Cheswick Adhesives Ltd,Raw materials,EXW,33,2025-08-22,Approved,Gwilym Gadsby,gwilym.gadsby@cheswickadhesi.example
HW-0212,Dunsmere Tooling Oy,Maintenance,FOB,31,2026-01-18,Pending,Jolanta Barrowclough,jolanta.barrowclough@dunsmeretoolin.example
HW-0213,Edgeworth Pallets SRL,Packaging,DAP,28,2024-08-15,Approved,Merrick Marchbank,merrick.marchbank@edgeworthpalle.example
HW-0214,Frampton Alloys BV,Raw materials,DDP,54,2025-06-25,Approved,Petra Halliwell,petra.halliwell@framptonalloys.example
HW-0215,Galloway Filters Group,Maintenance,DAP,32,2024-05-21,Approved,Caius Chevington,caius.chevington@gallowayfilter.example
HW-0216,Hartshorne Haulage PLC,Logistics,DDP,27,2026-02-28,Pending,Ffion Nettleford,ffion.nettleford@hartshornehaul.example
HW-0217,Innesford Pigments Ltd,Raw materials,EXW,38,2024-10-28,Approved,Idris Inkpen,idris.inkpen@innesfordpigme.example
HW-0218,Jevington Lubricants Oy,Maintenance,DAP,34,2026-02-19,Approved,Linnet Dunwoody,linnet.dunwoody@jevingtonlubri.example
HW-0219,Knayton Freight SRL,Logistics,DAP,47,2026-08-13,Pending,Osric Oldbury,osric.oldbury@knaytonfreight.example
HW-0220,Larkhall Timber BV,Raw materials,DAP,23,2025-12-04,Approved,Brioney Jelbart,brioney.jelbart@larkhalltimber.example
HW-0221,Mirfield Cartons Group,Packaging,DAP,26,2026-03-24,Approved,Eamon Elverton,eamon.elverton@mirfieldcarton.example
HW-0222,Newsholme Couriers PLC,Logistics,EXW,23,2024-03-27,Approved,Hesper Prescott,hesper.prescott@newsholmecouri.example
HW-0223,Oswaldkirk Glassworks Ltd,Raw materials,EXW,11,2025-02-03,Approved,Kester Kinnaird,kester.kinnaird@oswaldkirkglas.example
HW-0224,Penrhos Crates Oy,Packaging,DAP,43,2025-02-05,Approved,Nessa Fanshawe,nessa.fanshawe@penrhoscrateso.example
HW-0225,Quorndon Warehousing SRL,Logistics,FOB,57,2025-01-08,Approved,Anselm Ambleside,anselm.ambleside@quorndonwareho.example
HW-0226,Redmarley Cleaning BV,Maintenance,FOB,12,2024-09-30,Approved,Deryn Lockhart,deryn.lockhart@redmarleyclean.example
HW-0227,Sedgeberrow Films Group,Packaging,FOB,51,2026-04-24,Approved,Gwilym Gadsby,gwilym.gadsby@sedgeberrowfil.example
HW-0228,Tavistoke Polymers PLC,Raw materials,EXW,46,2024-08-27,Suspended,Jolanta Barrowclough,jolanta.barrowclough@tavistokepolym.example
HW-0229,Ulverston Calibration Ltd,Maintenance,DAP,8,2025-11-01,Suspended,Merrick Marchbank,merrick.marchbank@ulverstoncalib.example
HW-0230,Vaynor Labels Oy,Packaging,FOB,48,2024-03-09,Approved,Petra Halliwell,petra.halliwell@vaynorlabelsoy.example
HW-0231,Whitbourne Adhesives SRL,Raw materials,FOB,8,2026-05-04,Approved,Caius Chevington,caius.chevington@whitbourneadhe.example
HW-0232,Yatesbury Tooling BV,Maintenance,DDP,3,2025-01-13,Suspended,Ffion Nettleford,ffion.nettleford@yatesburytooli.example
HW-0233,Alnmouth Pallets Group,Packaging,DDP,18,2026-06-06,Approved,Idris Inkpen,idris.inkpen@alnmouthpallet.example
HW-0234,Bexwell Alloys PLC,Raw materials,DAP,34,2026-04-30,Approved,Linnet Dunwoody,linnet.dunwoody@bexwellalloysp.example
HW-0235,Ambleforth Filters Ltd,Maintenance,DAP,17,2024-03-17,Approved,Osric Oldbury,osric.oldbury@ambleforthfilt.example
HW-0236,Barrowden Haulage Oy,Logistics,DAP,5,2024-08-24,Approved,Brioney Jelbart,brioney.jelbart@barrowdenhaula.example
HW-0237,Cheswick Pigments SRL,Raw materials,FOB,35,2025-11-21,Approved,Eamon Elverton,eamon.elverton@cheswickpigmen.example
HW-0238,Dunsmere Lubricants BV,Maintenance,FOB,50,2026-06-25,Pending,Hesper Prescott,hesper.prescott@dunsmerelubric.example
HW-0239,Edgeworth Freight Group,Logistics,DAP,24,2024-01-25,Approved,Kester Kinnaird,kester.kinnaird@edgeworthfreig.example
HW-0240,Frampton Timber PLC,Raw materials,DDP,44,2026-01-14,Pending,Nessa Fanshawe,nessa.fanshawe@framptontimber.example
HW-0241,Galloway Cartons Ltd,Packaging,DDP,4,2024-09-04,Suspended,Anselm Ambleside,anselm.ambleside@gallowaycarton.example
HW-0242,Hartshorne Couriers Oy,Logistics,DAP,47,2025-10-14,Approved,Deryn Lockhart,deryn.lockhart@hartshornecour.example
HW-0243,Innesford Glassworks SRL,Raw materials,DAP,42,2025-09-06,Approved,Gwilym Gadsby,gwilym.gadsby@innesfordglass.example
HW-0244,Jevington Crates BV,Packaging,FOB,51,2025-04-25,Pending,Jolanta Barrowclough,jolanta.barrowclough@jevingtoncrate.example
HW-0245,Knayton Warehousing Group,Logistics,DDP,17,2025-08-30,Approved,Merrick Marchbank,merrick.marchbank@knaytonwarehou.example
HW-0246,Larkhall Cleaning PLC,Maintenance,FOB,34,2025-08-23,Pending,Petra Halliwell,petra.halliwell@larkhallcleani.example
HW-0247,Mirfield Films Ltd,Packaging,DAP,26,2025-03-01,Approved,Caius Chevington,caius.chevington@mirfieldfilmsl.example
HW-0248,Newsholme Polymers Oy,Raw materials,DAP,40,2025-08-29,Approved,Ffion Nettleford,ffion.nettleford@newsholmepolym.example
HW-0249,Oswaldkirk Calibration SRL,Maintenance,FOB,44,2026-03-15,Approved,Idris Inkpen,idris.inkpen@oswaldkirkcali.example
HW-0250,Penrhos Labels BV,Packaging,DAP,40,2025-03-09,Pending,Linnet Dunwoody,linnet.dunwoody@penrhoslabelsb.example
HW-0251,Quorndon Adhesives Group,Raw materials,DDP,47,2025-01-27,Approved,Osric Oldbury,osric.oldbury@quorndonadhesi.example
HW-0252,Redmarley Tooling PLC,Maintenance,FOB,19,2024-08-06,Approved,Brioney Jelbart,brioney.jelbart@redmarleytooli.example
HW-0253,Sedgeberrow Pallets Ltd,Packaging,DDP,40,2024-06-18,Suspended,Eamon Elverton,eamon.elverton@sedgeberrowpal.example
HW-0254,Tavistoke Alloys Oy,Raw materials,EXW,59,2026-07-17,Approved,Hesper Prescott,hesper.prescott@tavistokealloy.example
HW-0255,Ulverston Filters SRL,Maintenance,DDP,53,2025-06-27,Approved,Kester Kinnaird,kester.kinnaird@ulverstonfilte.example
HW-0256,Vaynor Haulage BV,Logistics,DDP,7,2025-07-17,Pending,Nessa Fanshawe,nessa.fanshawe@vaynorhaulageb.example
HW-0257,Whitbourne Pigments Group,Raw materials,FOB,6,2024-11-28,Approved,Anselm Ambleside,anselm.ambleside@whitbournepigm.example
HW-0258,Yatesbury Lubricants PLC,Maintenance,DDP,23,2025-08-01,Approved,Deryn Lockhart,deryn.lockhart@yatesburylubri.example
HW-0259,Alnmouth Freight Ltd,Logistics,EXW,16,2024-08-02,Pending,Gwilym Gadsby,gwilym.gadsby@alnmouthfreigh.example
HW-0260,Bexwell Timber Oy,Raw materials,DAP,34,2025-05-25,Approved,Jolanta Barrowclough,jolanta.barrowclough@bexwelltimbero.example
HW-0261,Ambleforth Cartons SRL,Packaging,DAP,19,2024-10-08,Approved,Merrick Marchbank,merrick.marchbank@ambleforthcart.example
HW-0262,Barrowden Couriers BV,Logistics,EXW,28,2024-12-02,Pending,Petra Halliwell,petra.halliwell@barrowdencouri.example
HW-0263,Cheswick Glassworks Group,Raw materials,DDP,6,2025-10-26,Approved,Caius Chevington,caius.chevington@cheswickglassw.example
HW-0264,Dunsmere Crates PLC,Packaging,EXW,40,2024-06-17,Approved,Ffion Nettleford,ffion.nettleford@dunsmerecrates.example
HW-0265,Edgeworth Warehousing Ltd,Logistics,FOB,4,2026-07-18,Approved,Idris Inkpen,idris.inkpen@edgeworthwareh.example
HW-0266,Frampton Cleaning Oy,Maintenance,FOB,19,2026-06-21,Suspended,Linnet Dunwoody,linnet.dunwoody@framptoncleani.example
HW-0267,Galloway Films SRL,Packaging,DDP,21,2026-02-06,Approved,Osric Oldbury,osric.oldbury@gallowayfilmss.example
HW-0268,Hartshorne Polymers BV,Raw materials,DDP,15,2024-02-22,Approved,Brioney Jelbart,brioney.jelbart@hartshornepoly.example
HW-0269,Innesford Calibration Group,Maintenance,DDP,20,2025-04-02,Approved,Eamon Elverton,eamon.elverton@innesfordcalib.example
HW-0270,Jevington Labels PLC,Packaging,DAP,54,2024-04-03,Approved,Hesper Prescott,hesper.prescott@jevingtonlabel.example
HW-0271,Knayton Adhesives Ltd,Raw materials,DAP,56,2024-05-17,Approved,Kester Kinnaird,kester.kinnaird@knaytonadhesiv.example
HW-0272,Larkhall Tooling Oy,Maintenance,FOB,56,2024-05-05,Approved,Nessa Fanshawe,nessa.fanshawe@larkhalltoolin.example
HW-0273,Mirfield Pallets SRL,Packaging,EXW,26,2024-12-08,Pending,Anselm Ambleside,anselm.ambleside@mirfieldpallet.example
HW-0274,Newsholme Alloys BV,Raw materials,DAP,29,2024-07-05,Approved,Deryn Lockhart,deryn.lockhart@newsholmealloy.example
HW-0275,Oswaldkirk Filters Group,Maintenance,FOB,28,2026-02-07,Pending,Gwilym Gadsby,gwilym.gadsby@oswaldkirkfilt.example
HW-0276,Penrhos Haulage PLC,Logistics,DDP,42,2024-12-22,Pending,Jolanta Barrowclough,jolanta.barrowclough@penrhoshaulage.example
HW-0277,Quorndon Pigments Ltd,Raw materials,DDP,34,2025-02-05,Pending,Merrick Marchbank,merrick.marchbank@quorndonpigmen.example
HW-0278,Redmarley Lubricants Oy,Maintenance,FOB,37,2024-11-27,Approved,Petra Halliwell,petra.halliwell@redmarleylubri.example
HW-0279,Sedgeberrow Freight SRL,Logistics,DAP,35,2025-04-19,Approved,Caius Chevington,caius.chevington@sedgeberrowfre.example
HW-0280,Tavistoke Timber BV,Raw materials,EXW,22,2026-03-24,Pending,Ffion Nettleford,ffion.nettleford@tavistoketimbe.example
HW-0281,Ulverston Cartons Group,Packaging,DAP,11,2025-07-26,Pending,Idris Inkpen,idris.inkpen@ulverstoncarto.example
HW-0282,Vaynor Couriers PLC,Logistics,DDP,37,2026-05-20,Approved,Linnet Dunwoody,linnet.dunwoody@vaynorcouriers.example
HW-0283,Whitbourne Glassworks Ltd,Raw materials,DAP,20,2026-05-08,Approved,Osric Oldbury,osric.oldbury@whitbourneglas.example
HW-0284,Yatesbury Crates Oy,Packaging,DAP,45,2024-09-17,Approved,Brioney Jelbart,brioney.jelbart@yatesburycrate.example
HW-0285,Alnmouth Warehousing SRL,Logistics,FOB,48,2024-03-26,Approved,Eamon Elverton,eamon.elverton@alnmouthwareho.example
HW-0286,Bexwell Cleaning BV,Maintenance,FOB,13,2025-07-16,Approved,Hesper Prescott,hesper.prescott@bexwellcleanin.example
HW-0287,Ambleforth Films Group,Packaging,DDP,50,2024-07-18,Approved,Kester Kinnaird,kester.kinnaird@ambleforthfilm.example
HW-0288,Barrowden Polymers PLC,Raw materials,FOB,38,2024-12-26,Approved,Nessa Fanshawe,nessa.fanshawe@barrowdenpolym.example
HW-0289,Cheswick Calibration Ltd,Maintenance,FOB,22,2025-04-24,Pending,Anselm Ambleside,anselm.ambleside@cheswickcalibr.example
HW-0290,Dunsmere Labels Oy,Packaging,DAP,28,2025-06-27,Approved,Deryn Lockhart,deryn.lockhart@dunsmerelabels.example
HW-0291,Edgeworth Adhesives SRL,Raw materials,EXW,27,2025-08-08,Suspended,Gwilym Gadsby,gwilym.gadsby@edgeworthadhes.example
HW-0292,Frampton Tooling BV,Maintenance,DDP,46,2024-07-14,Approved,Jolanta Barrowclough,jolanta.barrowclough@framptontoolin.example
HW-0293,Galloway Pallets Group,Packaging,FOB,59,2025-07-18,Approved,Merrick Marchbank,merrick.marchbank@gallowaypallet.example
HW-0294,Hartshorne Alloys PLC,Raw materials,EXW,35,2025-02-12,Approved,Petra Halliwell,petra.halliwell@hartshorneallo.example
HW-0295,Innesford Filters Ltd,Maintenance,FOB,19,2025-05-30,Approved,Caius Chevington,caius.chevington@innesfordfilte.example
HW-0296,Jevington Haulage Oy,Logistics,FOB,40,2025-05-21,Approved,Ffion Nettleford,ffion.nettleford@jevingtonhaula.example
HW-0297,Knayton Pigments SRL,Raw materials,DAP,25,2024-12-20,Pending,Idris Inkpen,idris.inkpen@knaytonpigment.example
HW-0298,Larkhall Lubricants BV,Maintenance,FOB,24,2025-07-28,Approved,Linnet Dunwoody,linnet.dunwoody@larkhalllubric.example
HW-0299,Mirfield Freight Group,Logistics,DAP,47,2025-02-23,Approved,Osric Oldbury,osric.oldbury@mirfieldfreigh.example
HW-0300,Newsholme Timber PLC,Raw materials,EXW,8,2024-02-04,Approved,Brioney Jelbart,brioney.jelbart@newsholmetimbe.example
HW-0301,Oswaldkirk Cartons Ltd,Packaging,FOB,20,2026-01-28,Approved,Eamon Elverton,eamon.elverton@oswaldkirkcart.example
HW-0302,Penrhos Couriers Oy,Logistics,DDP,46,2025-03-18,Approved,Hesper Prescott,hesper.prescott@penrhoscourier.example
HW-0303,Quorndon Glassworks SRL,Raw materials,DAP,60,2024-12-06,Approved,Kester Kinnaird,kester.kinnaird@quorndonglassw.example
HW-0304,Redmarley Crates BV,Packaging,DAP,53,2024-08-08,Approved,Nessa Fanshawe,nessa.fanshawe@redmarleycrate.example
HW-0305,Sedgeberrow Warehousing Group,Logistics,EXW,59,2024-06-03,Pending,Anselm Ambleside,anselm.ambleside@sedgeberrowwar.example
HW-0306,Tavistoke Cleaning PLC,Maintenance,FOB,56,2024-06-28,Approved,Deryn Lockhart,deryn.lockhart@tavistokeclean.example
HW-0307,Ulverston Films Ltd,Packaging,DAP,41,2024-08-16,Approved,Gwilym Gadsby,gwilym.gadsby@ulverstonfilms.example
HW-0308,Vaynor Polymers Oy,Raw materials,FOB,37,2024-12-10,Approved,Jolanta Barrowclough,jolanta.barrowclough@vaynorpolymers.example
HW-0309,Whitbourne Calibration SRL,Maintenance,DAP,25,2026-07-17,Suspended,Merrick Marchbank,merrick.marchbank@whitbournecali.example
HW-0310,Yatesbury Labels BV,Packaging,DAP,28,2026-02-18,Approved,Petra Halliwell,petra.halliwell@yatesburylabel.example
HW-0311,Alnmouth Adhesives Group,Raw materials,EXW,50,2026-06-26,Approved,Caius Chevington,caius.chevington@alnmouthadhesi.example
HW-0312,Bexwell Tooling PLC,Maintenance,FOB,13,2026-04-05,Approved,Ffion Nettleford,ffion.nettleford@bexwelltooling.example
HW-0313,Ambleforth Pallets Ltd,Packaging,DDP,13,2024-05-22,Approved,Idris Inkpen,idris.inkpen@ambleforthpall.example
HW-0314,Barrowden Alloys Oy,Raw materials,FOB,24,2024-03-17,Approved,Linnet Dunwoody,linnet.dunwoody@barrowdenalloy.example
HW-0315,Cheswick Filters SRL,Maintenance,DDP,39,2024-10-27,Pending,Osric Oldbury,osric.oldbury@cheswickfilter.example
HW-0316,Dunsmere Haulage BV,Logistics,DAP,55,2025-02-24,Approved,Brioney Jelbart,brioney.jelbart@dunsmerehaulag.example
HW-0317,Edgeworth Pigments Group,Raw materials,DAP,50,2025-08-06,Suspended,Eamon Elverton,eamon.elverton@edgeworthpigme.example
HW-0318,Frampton Lubricants PLC,Maintenance,EXW,5,2026-08-13,Approved,Hesper Prescott,hesper.prescott@framptonlubric.example
HW-0319,Galloway Freight Ltd,Logistics,DDP,41,2024-07-31,Approved,Kester Kinnaird,kester.kinnaird@gallowayfreigh.example
HW-0320,Hartshorne Timber Oy,Raw materials,DDP,25,2024-02-29,Approved,Nessa Fanshawe,nessa.fanshawe@hartshornetimb.example
HW-0321,Innesford Cartons SRL,Packaging,FOB,15,2025-09-27,Suspended,Anselm Ambleside,anselm.ambleside@innesfordcarto.example
HW-0322,Jevington Couriers BV,Logistics,DAP,20,2024-05-13,Pending,Deryn Lockhart,deryn.lockhart@jevingtoncouri.example
HW-0323,Knayton Glassworks Group,Raw materials,DAP,40,2026-07-21,Approved,Gwilym Gadsby,gwilym.gadsby@knaytonglasswo.example
HW-0324,Larkhall Crates PLC,Packaging,DAP,35,2025-12-26,Pending,Jolanta Barrowclough,jolanta.barrowclough@larkhallcrates.example
HW-0325,Mirfield Warehousing Ltd,Logistics,DAP,22,2024-05-16,Approved,Merrick Marchbank,merrick.marchbank@mirfieldwareho.example
HW-0326,Newsholme Cleaning Oy,Maintenance,EXW,14,2024-06-03,Approved,Petra Halliwell,petra.halliwell@newsholmeclean.example
HW-0327,Oswaldkirk Films SRL,Packaging,DAP,29,2024-06-28,Approved,Caius Chevington,caius.chevington@oswaldkirkfilm.example
HW-0328,Penrhos Polymers BV,Raw materials,FOB,45,2025-01-06,Approved,Ffion Nettleford,ffion.nettleford@penrhospolymer.example
HW-0329,Quorndon Calibration Group,Maintenance,FOB,5,2024-10-03,Approved,Idris Inkpen,idris.inkpen@quorndoncalibr.example
HW-0330,Redmarley Labels PLC,Packaging,DAP,35,2024-12-21,Suspended,Linnet Dunwoody,linnet.dunwoody@redmarleylabel.example
HW-0331,Sedgeberrow Adhesives Ltd,Raw materials,FOB,31,2025-11-21,Pending,Osric Oldbury,osric.oldbury@sedgeberrowadh.example
HW-0332,Tavistoke Tooling Oy,Maintenance,DDP,34,2025-03-01,Pending,Brioney Jelbart,brioney.jelbart@tavistoketooli.example
HW-0333,Ulverston Pallets SRL,Packaging,DAP,27,2025-02-17,Approved,Eamon Elverton,eamon.elverton@ulverstonpalle.example
HW-0334,Vaynor Alloys BV,Raw materials,DDP,13,2025-01-28,Approved,Hesper Prescott,hesper.prescott@vaynoralloysbv.example
HW-0335,Whitbourne Filters Group,Maintenance,DDP,27,2026-07-18,Approved,Kester Kinnaird,kester.kinnaird@whitbournefilt.example
HW-0336,Yatesbury Haulage PLC,Logistics,EXW,3,2024-11-25,Approved,Nessa Fanshawe,nessa.fanshawe@yatesburyhaula.example
HW-0337,Alnmouth Pigments Ltd,Raw materials,DAP,48,2024-05-05,Approved,Anselm Ambleside,anselm.ambleside@alnmouthpigmen.example
HW-0338,Bexwell Lubricants Oy,Maintenance,FOB,22,2024-05-12,Approved,Deryn Lockhart,deryn.lockhart@bexwelllubrica.example
HW-0339,Ambleforth Freight SRL,Logistics,FOB,43,2025-05-25,Approved,Gwilym Gadsby,gwilym.gadsby@ambleforthfrei.example
HW-0340,Barrowden Timber BV,Raw materials,FOB,36,2024-01-29,Suspended,Jolanta Barrowclough,jolanta.barrowclough@barrowdentimbe.example
HW-0341,Cheswick Cartons Group,Packaging,DAP,29,2025-08-23,Approved,Merrick Marchbank,merrick.marchbank@cheswickcarton.example
HW-0342,Dunsmere Couriers PLC,Logistics,DDP,29,2025-11-15,Approved,Petra Halliwell,petra.halliwell@dunsmerecourie.example
HW-0343,Edgeworth Glassworks Ltd,Raw materials,DAP,33,2025-02-23,Pending,Caius Chevington,caius.chevington@edgeworthglass.example
HW-0344,Frampton Crates Oy,Packaging,DDP,32,2025-05-29,Approved,Ffion Nettleford,ffion.nettleford@framptoncrates.example
HW-0345,Galloway Warehousing SRL,Logistics,FOB,10,2026-05-15,Approved,Idris Inkpen,idris.inkpen@gallowaywareho.example
HW-0346,Hartshorne Cleaning BV,Maintenance,DDP,38,2024-10-23,Approved,Linnet Dunwoody,linnet.dunwoody@hartshorneclea.example
HW-0347,Innesford Films Group,Packaging,DDP,24,2026-01-01,Pending,Osric Oldbury,osric.oldbury@innesfordfilms.example
HW-0348,Jevington Polymers PLC,Raw materials,DDP,40,2026-05-21,Pending,Brioney Jelbart,brioney.jelbart@jevingtonpolym.example
HW-0349,Knayton Calibration Ltd,Maintenance,FOB,58,2024-12-27,Approved,Eamon Elverton,eamon.elverton@knaytoncalibra.example
HW-0350,Larkhall Labels Oy,Packaging,DAP,33,2026-01-07,Approved,Hesper Prescott,hesper.prescott@larkhalllabels.example
HW-0351,Mirfield Adhesives SRL,Raw materials,DAP,49,2024-02-01,Approved,Kester Kinnaird,kester.kinnaird@mirfieldadhesi.example
HW-0352,Newsholme Tooling BV,Maintenance,EXW,53,2026-04-11,Approved,Nessa Fanshawe,nessa.fanshawe@newsholmetooli.example
HW-0353,Oswaldkirk Pallets Group,Packaging,DAP,24,2024-01-21,Approved,Anselm Ambleside,anselm.ambleside@oswaldkirkpall.example
HW-0354,Penrhos Alloys PLC,Raw materials,DAP,49,2024-03-28,Approved,Deryn Lockhart,deryn.lockhart@penrhosalloysp.example
HW-0355,Quorndon Filters Ltd,Maintenance,DAP,10,2025-12-10,Pending,Gwilym Gadsby,gwilym.gadsby@quorndonfilter.example
HW-0356,Redmarley Haulage Oy,Logistics,FOB,21,2024-09-27,Suspended,Jolanta Barrowclough,jolanta.barrowclough@redmarleyhaula.example
HW-0357,Sedgeberrow Pigments SRL,Raw materials,FOB,23,2024-07-20,Approved,Merrick Marchbank,merrick.marchbank@sedgeberrowpig.example
HW-0358,Tavistoke Lubricants BV,Maintenance,FOB,26,2024-03-29,Approved,Petra Halliwell,petra.halliwell@tavistokelubri.example
HW-0359,Ulverston Freight Group,Logistics,EXW,60,2025-06-16,Approved,Caius Chevington,caius.chevington@ulverstonfreig.example
HW-0360,Vaynor Timber PLC,Raw materials,DAP,56,2025-01-27,Approved,Ffion Nettleford,ffion.nettleford@vaynortimberpl.example
HW-0361,Whitbourne Cartons Ltd,Packaging,DDP,46,2026-04-09,Pending,Idris Inkpen,idris.inkpen@whitbournecart.example
HW-0362,Yatesbury Couriers Oy,Logistics,FOB,32,2025-10-15,Approved,Linnet Dunwoody,linnet.dunwoody@yatesburycouri.example
HW-0363,Alnmouth Glassworks SRL,Raw materials,DAP,19,2025-07-22,Approved,Osric Oldbury,osric.oldbury@alnmouthglassw.example
HW-0364,Bexwell Crates BV,Packaging,DAP,41,2025-11-18,Approved,Brioney Jelbart,brioney.jelbart@bexwellcratesb.example
HW-0365,Ambleforth Warehousing Group,Logistics,DDP,23,2025-05-23,Pending,Eamon Elverton,eamon.elverton@ambleforthware.example
HW-0366,Barrowden Cleaning PLC,Maintenance,FOB,52,2024-10-05,Pending,Hesper Prescott,hesper.prescott@barrowdenclean.example
HW-0367,Cheswick Films Ltd,Packaging,DAP,24,2026-08-14,Pending,Kester Kinnaird,kester.kinnaird@cheswickfilmsl.example
HW-0368,Dunsmere Polymers Oy,Raw materials,FOB,19,2024-05-07,Approved,Nessa Fanshawe,nessa.fanshawe@dunsmerepolyme.example
HW-0369,Edgeworth Calibration SRL,Maintenance,FOB,51,2024-01-15,Pending,Anselm Ambleside,anselm.ambleside@edgeworthcalib.example
HW-0370,Frampton Labels BV,Packaging,FOB,28,2025-12-22,Approved,Deryn Lockhart,deryn.lockhart@framptonlabels.example
HW-0371,Galloway Adhesives Group,Raw materials,DAP,46,2024-05-12,Approved,Gwilym Gadsby,gwilym.gadsby@gallowayadhesi.example
HW-0372,Hartshorne Tooling PLC,Maintenance,DAP,53,2025-02-25,Pending,Jolanta Barrowclough,jolanta.barrowclough@hartshornetool.example
HW-0373,Innesford Pallets Ltd,Packaging,EXW,14,2024-04-06,Approved,Merrick Marchbank,merrick.marchbank@innesfordpalle.example
HW-0374,Jevington Alloys Oy,Raw materials,FOB,37,2025-05-27,Approved,Petra Halliwell,petra.halliwell@jevingtonalloy.example
HW-0375,Knayton Filters SRL,Maintenance,FOB,4,2024-12-28,Approved,Caius Chevington,caius.chevington@knaytonfilters.example
HW-0376,Larkhall Haulage BV,Logistics,DAP,51,2024-06-20,Approved,Ffion Nettleford,ffion.nettleford@larkhallhaulag.example
HW-0377,Mirfield Pigments Group,Raw materials,EXW,59,2025-05-12,Approved,Idris Inkpen,idris.inkpen@mirfieldpigmen.example
HW-0378,Newsholme Lubricants PLC,Maintenance,DDP,18,2025-07-30,Approved,Linnet Dunwoody,linnet.dunwoody@newsholmelubri.example
HW-0379,Oswaldkirk Freight Ltd,Logistics,EXW,27,2024-08-29,Pending,Osric Oldbury,osric.oldbury@oswaldkirkfrei.example
HW-0380,Penrhos Timber Oy,Raw materials,DAP,12,2026-03-16,Approved,Brioney Jelbart,brioney.jelbart@penrhostimbero.example
HW-0381,Quorndon Cartons SRL,Packaging,DDP,15,2024-04-07,Approved,Eamon Elverton,eamon.elverton@quorndoncarton.example
HW-0382,Redmarley Couriers BV,Logistics,DAP,21,2025-10-05,Pending,Hesper Prescott,hesper.prescott@redmarleycouri.example
HW-0383,Sedgeberrow Glassworks Group,Raw materials,DDP,31,2024-10-25,Approved,Kester Kinnaird,kester.kinnaird@sedgeberrowgla.example
HW-0384,Tavistoke Crates PLC,Packaging,FOB,5,2024-07-25,Pending,Nessa Fanshawe,nessa.fanshawe@tavistokecrate.example
HW-0385,Ulverston Warehousing Ltd,Logistics,EXW,46,2025-04-04,Approved,Anselm Ambleside,anselm.ambleside@ulverstonwareh.example
HW-0386,Vaynor Cleaning Oy,Maintenance,DAP,20,2026-01-30,Pending,Deryn Lockhart,deryn.lockhart@vaynorcleaning.example
HW-0387,Whitbourne Films SRL,Packaging,EXW,58,2026-02-08,Approved,Gwilym Gadsby,gwilym.gadsby@whitbournefilm.example
HW-0388,Yatesbury Polymers BV,Raw materials,EXW,39,2024-10-24,Pending,Jolanta Barrowclough,jolanta.barrowclough@yatesburypolym.example
HW-0389,Alnmouth Calibration Group,Maintenance,FOB,20,2024-04-21,Approved,Merrick Marchbank,merrick.marchbank@alnmouthcalibr.example
HW-0390,Bexwell Labels PLC,Packaging,DAP,46,2026-08-01,Approved,Petra Halliwell,petra.halliwell@bexwelllabelsp.example
HW-0391,Ambleforth Adhesives Ltd,Raw materials,FOB,7,2025-03-04,Approved,Caius Chevington,caius.chevington@ambleforthadhe.example
